,,メーカ,ヤマシタ,ヤマシタ,ヤマシタ,ヤマシタ,ヤマシタ,ヤマシタ,ヤマシタ,ヤマシタ,エコギア,クレイジーオーシャン,クレイジーオーシャン,クレイジーオーシャン,クレイジーオーシャン,クレイジーオーシャン,クレイジーオーシャン,クレイジーオーシャン,クレイジーオーシャン,クレイジーオーシャン,クレイジーオーシャン,クレイジーオーシャン,メジャークラフト,メジャークラフト,メジャークラフト,メジャークラフト,メジャークラフト,メジャークラフト,メジャークラフト,メジャークラフト,デュエル,デュエル,デュエル,デュエル,デュエル,ダイワ,ダイワ,ダイワ,ダイワ,ダイワ,ダイワ,ダイワ,ダイワ,ダイワ,ダイワ,ダイワ,ダイワ,ダイワ,ダイワ,ダイワ,バレーヒル,バレーヒル,バレーヒル,バレーヒル,バレーヒル,キザクラ,キザクラ,キザクラ,キザクラ,キザクラ,キザクラ,キザクラ,釣研,釣研,釣研,釣研,釣研,釣研,ジャッカル,ジャッカル,ジャッカル,ジャッカル,ジャッカル
,,形名,エギ王TRシンカー,エギ王TRシンカー,エギ王TRシンカー,エギ王TRシンカー,エギ王TRシンカー,エギ王TRシンカー,エギ王TRシンカー,エギ王TRシンカー,TRアップウエイト,オーシャンシンカーV,オーシャンシンカーV,オーシャンシンカーV,オーシャンシンカーV,オーシャンシンカーV,オーシャンシンカー,オーシャンシンカー,オーシャンシンカー,オーシャンシンカー,オーシャンシンカー,オーシャンシンカー,餌木蔵TRシンカー,餌木蔵TRシンカー,餌木蔵TRシンカー,餌木蔵TRシンカー,餌木蔵TRシンカー,餌木蔵TRシンカー,餌木蔵TRシンカー,餌木蔵TRシンカー,クイックTRシンカー,クイックTRシンカー,クイックTRシンカー,クイックTRシンカー,クイックTRシンカー,仮面シンカーボート3,仮面シンカーボート3,仮面シンカーボート3,仮面シンカーボート3,仮面シンカーボート3,仮面シンカーボート3,仮面シンカーボート3,仮面シンカーボートⅡ,仮面シンカーボートⅡ,仮面シンカーボートⅡ,仮面シンカーボートⅡ,仮面シンカーボートⅡ,仮面シンカーボートⅡ,仮面シンカーボートⅡ,仮面シンカーボートⅡ,ブリットシンカー,ブリットシンカー,ブリットシンカー,ブリットシンカー,ブリットシンカー,エギボー,エギボー,エギボー,エギボー,エギボー,エギボー,エギボー,エギスタTRシンカー,エギスタTRシンカー,エギスタTRシンカー,エギスタTRシンカー,エギスタTRシンカー,エギスタボートシンカー,ゲキダキTRシンカー,ゲキダキTRシンカー,ゲキダキTRシンカー,ゲキダキTRシンカー,ゲキダキTRシンカー
メーカ,形名,ウェイト,7g,10g,15g,20g,30g,40g,50g,60g,30g,7g,10g,15g,20g,30g,10g,20g,30g,40g,50g,60g,7g,10g,15g,20g,25g,30g,35g,40g,10g,15g,20g,30g,40g,7g,10g,15g,20g,25g,30g,40g,7g,10g,15g,20g,25g,30g,35g,40g,10g,15g,20g,30g,40g,7g,10g,15g,20g,25g,30g,40g,10g,20g,30g,40g,50g,7g,10g,20g,30g,40g,50g
ヤマシタ,エギ王TR 3.0号,21g,OK,OK,OK,OK,OK,OK,OK,OK,NG,OK,OK*5,OK*1,OK*5,OK,OK,OK,OK,OK,OK*2,NG,？,？,？,？,？,OK,？,？,OK,OK,OK*5,OK,OK,OK*1,OK*3,OK*3,NG,NG,NG,NG,？,？,OK*3,？,？,？,？,？,？,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK*1,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
ヤマシタ,エギ王TR 3.5号,27g,OK,OK,OK,OK,OK,OK,OK,OK,NG,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK*2,OK*2,？,？,？,？,？,OK,？,？,OK,OK,OK*5,OK,OK,OK*3,OK*1,OK*3,NG,OK*3,NG,NG,？,？,OK,？,？,？,？,？,？,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
エコギア,ダートマックス 2.5号,11g,NG,NG,NG,NG,NG,NG,NG,NG,OK*1,NG,NG*4,NG,NG*4,NG,NG,NG,NG,NG,NG,NG,？,？,？,？,？,NG,？,？,NG,NG,NG*4,NG,NG,NG,NG,NG,NG,NG,NG,NG,？,？,NG,？,？,？,？,？,？,OK*3,OK*3,OK*3,OK*3,NG,OK*3,NG,NG,NG*4,NG,NG,OK*3,OK*3,OK*3,OK*3,OK*3,NG,OK*3,OK*3,OK*3,OK*3,OK*3
エコギア,ダートマックス 3.0号,17g,NG,NG,NG,NG,NG,NG,NG,NG,OK*1,NG,NG*4,NG,？,OK*3,NG,NG,NG,OK*3,NG,NG,？,？,？,？,？,NG,？,？,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,？,？,NG,？,？,？,？,？,？,OK*3,OK*3,OK*3,OK*3,NG,NG,NG,NG,NG,NG,NG,OK*3,OK*1,OK*3,OK*3,OK*3,NG,OK*3,OK*3,OK*3,OK*3,OK*3
エコギア,ダートマックス 3.5号,19g,OK*3,OK*3,OK*3,OK*3,OK*3,OK*3,OK*3,OK*3,OK,OK*3,？,OK*3,？,OK*3,NG,NG,NG,OK*3,NG,NG,？,？,？,？,？,NG,？,？,OK*3,OK*3,OK*3,OK*3,OK*3,NG,NG,NG,NG,NG,NG,NG,？,？,NG,？,？,？,？,？,？,OK,OK,OK*3,OK*3,OK*3,NG,NG,NG,NG,NG,NG,OK*3,OK,OK*1,OK,OK,NG,OK,OK,OK,OK,OK
エコギア,ダートマックスTR 3.5号,30g,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,？,？,？,？,OK*1,OK*1,？,？,OK,OK,OK*5,OK,OK,OK*3,OK*3,OK*1,OK*3,OK*3,NG,NG,？,？,OK*1,？,？,？,？,？,OK*3,OK*3,OK*3,OK*3,OK*1,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NG,OK,OK,OK,OK,OK
エコギア,ダートマックスTR 3.5号,40g,NG,NG,NG,NG,NG,NG,NG,NG,OK,OK,OK,OK,OK,OK,NG,NG,NG,NG,NG,NG,？,？,？,？,OK,OK,？,？,NG,NG,NG,NG,NG,OK*3,OK*1,OK,OK*1,OK,OK*1,OK*1,？,？,OK,？,？,？,？,？,NG,NG,NG,NG,NG,OK,OK,OK,OK,OK,OK,OK,NG,NG,NG,NG,NG,OK,NG,NG,NG,NG,NG
エコギア,ダートマックスTRZ 3.5号,30g,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,？,？,？,？,OK*1,OK*1,？,？,OK,OK,OK*5,OK,OK,OK*3,OK*1,OK*1,OK*3,OK*3,OK*3,NG,？,？,OK*1,？,？,？,？,？,OK*3,OK*3,OK*3,OK*3,OK*1,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NG,OK,OK,OK,OK,OK
